"ID";"INSEE COM";"NOM COM M";"INSEE DEP";"NOM DEP";"INSEE REG";"NOM REG";"XMIN";"YMIN";"XMAX";"YMAX"
1;1001;"ABERGEMENT CLEMENCIAT";1;"AIN";84;"AUVERGNE RHONE ALPES";846825;6559577;851130;6566700
2;1002;"ABERGEMENT DE VAREY";1;"AIN";84;"AUVERGNE RHONE ALPES";886026;6545456;889148;6550850
3;1004;"AMBERIEU EN BUGEY";1;"AIN";84;"AUVERGNE RHONE ALPES";880237;6539610;886863;6545363
4;1005;"AMBERIEUX EN DOMBES";1;"AIN";84;"AUVERGNE RHONE ALPES";845170;6543924;850799;6548473
5;1006;"AMBLEON";1;"AIN";84;"AUVERGNE RHONE ALPES";899820;6518271;903300;6521413
6;1007;"AMBRONAY";1;"AIN";84;"AUVERGNE RHONE ALPES";877934;6544869;887747;6551762
7;1008;"AMBUTRIX";1;"AIN";84;"AUVERGNE RHONE ALPES";878922;6538500;882991;6541275
8;1009;"ANDERT ET CONDON";1;"AIN";84;"AUVERGNE RHONE ALPES";905177;6521317;908087;6526612
9;1010;"ANGLEFORT";1;"AIN";84;"AUVERGNE RHONE ALPES";913981;6534659;919285;6541708
10;1011;"APREMONT";1;"AIN";84;"AUVERGNE RHONE ALPES";902749;6567639;907622;6573600
11;1012;"ARANC";1;"AIN";84;"AUVERGNE RHONE ALPES";891412;6544200;897671;6550240
12;1013;"ARANDAS";1;"AIN";84;"AUVERGNE RHONE ALPES";891019;6531577;896316;6538730
13;1014;"ARBENT";1;"AIN";84;"AUVERGNE RHONE ALPES";904080;6576564;909869;6582522
14;1015;"ARBOYS EN BUGEY";1;"AIN";84;"AUVERGNE RHONE ALPES";902595;6511679;908232;6521658
15;1016;"ARBIGNY";1;"AIN";84;"AUVERGNE RHONE ALPES";846834;6597181;854072;6602270
16;1017;"ARGIS";1;"AIN";84;"AUVERGNE RHONE ALPES";890540;6537993;893976;6541926
17;1019;"ARMIX";1;"AIN";84;"AUVERGNE RHONE ALPES";898151;6529834;902724;6532869
18;1021;"ARS SUR FORMANS";1;"AIN";84;"AUVERGNE RHONE ALPES";839395;6543159;842259;6546912
19;1022;"ARTEMARE";1;"AIN";84;"AUVERGNE RHONE ALPES";907644;6532540;909976;6534663
20;1023;"ASNIERES SUR SAONE";1;"AIN";84;"AUVERGNE RHONE ALPES";843395;6587166;845836;6590927
21;1024;"ATTIGNAT";1;"AIN";84;"AUVERGNE RHONE ALPES";865024;6575207;870843;6581898
22;1025;"BAGE DOMMARTIN";1;"AIN";84;"AUVERGNE RHONE ALPES";846603;6577985;856555;6587398
23;1026;"BAGE LE CHATEL";1;"AIN";84;"AUVERGNE RHONE ALPES";847816;6579939;849289;6581086
24;1027;"BALAN";1;"AIN";84;"AUVERGNE RHONE ALPES";860981;6524224;866153;6530618
25;1028;"BANEINS";1;"AIN";84;"AUVERGNE RHONE ALPES";845204;6556639;848942;6560633
26;1029;"BEAUPONT";1;"AIN";84;"AUVERGNE RHONE ALPES";871391;6590728;876206;6598150
27;1030;"BEAUREGARD";1;"AIN";84;"AUVERGNE RHONE ALPES";835302;6545540;836574;6546690
28;1031;"BELLIGNAT";1;"AIN";84;"AUVERGNE RHONE ALPES";901326;6572306;905048;6576803
29;1032;"BELIGNEUX";1;"AIN";84;"AUVERGNE RHONE ALPES";863723;6529275;868596;6533584
30;1033;"VALSERHONE";1;"AIN";84;"AUVERGNE RHONE ALPES";910108;6557056;921411;6566872
31;1034;"BELLEY";1;"AIN";84;"AUVERGNE RHONE ALPES";906381;6515610;912173;6523393
32;1035;"BELLEYDOUX";1;"AIN";84;"AUVERGNE RHONE ALPES";910486;6574446;917956;6577994
33;1036;"VALROMEY SUR SERAN";1;"AIN";84;"AUVERGNE RHONE ALPES";902662;6532518;910172;6546428
34;1037;"BENONCES";1;"AIN";84;"AUVERGNE RHONE ALPES";890203;6526532;895288;6533335
35;1038;"BENY";1;"AIN";84;"AUVERGNE RHONE ALPES";872763;6579172;877907;6585644
36;1039;"BEON";1;"AIN";84;"AUVERGNE RHONE ALPES";911675;6529842;914924;6535007
37;1040;"BEREZIAT";1;"AIN";84;"AUVERGNE RHONE ALPES";854809;6585683;859323;6589476
38;1041;"BETTANT";1;"AIN";84;"AUVERGNE RHONE ALPES";881310;6538145;884890;6541759
39;1042;"BEY";1;"AIN";84;"AUVERGNE RHONE ALPES";841147;6569111;843085;6571640
40;1043;"BEYNOST";1;"AIN";84;"AUVERGNE RHONE ALPES";853075;6525130;856768;6531289
